município,mês,Quantidade
Alto Horizonte,September de 2024,0.0
Alto Horizonte,October de 2024,0.0
Alto Paraíso de Goiás,January de 2021,0.0
Alto Paraíso de Goiás,February de 2021,0.0
Alto Paraíso de Goiás,March de 2021,0.0
Alto Paraíso de Goiás,April de 2021,0.0
Alto Paraíso de Goiás,May de 2021,0.0
Alto Paraíso de Goiás,June de 2021,0.0
Alto Paraíso de Goiás,July de 2021,1.0
Alto Paraíso de Goiás,August de 2021,0.0
Alto Paraíso de Goiás,September de 2021,0.0
Alto Paraíso de Goiás,October de 2021,0.0
Alto Paraíso de Goiás,November de 2021,0.0
Alto Paraíso de Goiás,December de 2021,2.0
Alto Paraíso de Goiás,January de 2022,0.0
Alto Paraíso de Goiás,February de 2022,0.0
Alto Paraíso de Goiás,March de 2022,0.0
Alto Paraíso de Goiás,April de 2022,0.0
Alto Paraíso de Goiás,May de 2022,0.0
Alto Paraíso de Goiás,June de 2022,0.0
Alto Paraíso de Goiás,July de 2022,0.0
Alto Paraíso de Goiás,August de 2022,0.0
Alto Paraíso de Goiás,September de 2022,0.0
Alto Paraíso de Goiás,October de 2022,0.0
Alto Paraíso de Goiás,November de 2022,0.0
Alto Paraíso de Goiás,December de 2022,0.0
Alto Paraíso de Goiás,January de 2023,0.0
Alto Paraíso de Goiás,February de 2023,1.0
Alto Paraíso de Goiás,March de 2023,0.0
Alto Paraíso de Goiás,April de 2023,0.0
Alto Paraíso de Goiás,May de 2023,0.0
Alto Paraíso de Goiás,June de 2023,0.0
Alto Paraíso de Goiás,July de 2023,0.0
Alto Paraíso de Goiás,August de 2023,0.0
Alto Paraíso de Goiás,September de 2023,0.0
Alto Paraíso de Goiás,October de 2023,0.0
Alto Paraíso de Goiás,November de 2023,0.0
Alto Paraíso de Goiás,December de 2023,0.0
Alto Paraíso de Goiás,January de 2024,0.0
Alto Paraíso de Goiás,February de 2024,0.0
Alto Paraíso de Goiás,March de 2024,0.0
Alto Paraíso de Goiás,April de 2024,0.0
Alto Paraíso de Goiás,May de 2024,0.0
Alto Paraíso de Goiás,June de 2024,0.0
Alto Paraíso de Goiás,July de 2024,0.0
Alto Paraíso de Goiás,August de 2024,0.0
Alto Paraíso de Goiás,September de 2024,0.0
Alto Paraíso de Goiás,October de 2024,0.0
Alvorada do Norte,January de 2021,0.0
Alvorada do Norte,February de 2021,0.0
Alvorada do Norte,March de 2021,0.0
Alvorada do Norte,April de 2021,1.0
Alvorada do Norte,May de 2021,0.0
Alvorada do Norte,June de 2021,1.0
Alvorada do Norte,July de 2021,0.0
Alvorada do Norte,August de 2021,0.0
Alvorada do Norte,September de 2021,0.0
Alvorada do Norte,October de 2021,0.0
Alvorada do Norte,November de 2021,0.0
Alvorada do Norte,December de 2021,0.0
Alvorada do Norte,January de 2022,0.0
Alvorada do Norte,February de 2022,0.0
Alvorada do Norte,March de 2022,1.0
Alvorada do Norte,April de 2022,0.0
Alvorada do Norte,May de 2022,0.0
Alvorada do Norte,June de 2022,0.0
Alvorada do Norte,July de 2022,0.0
Alvorada do Norte,August de 2022,0.0
Alvorada do Norte,September de 2022,0.0
Alvorada do Norte,October de 2022,0.0
Alvorada do Norte,November de 2022,0.0
Alvorada do Norte,December de 2022,0.0
Alvorada do Norte,January de 2023,0.0
Alvorada do Norte,February de 2023,0.0
Alvorada do Norte,March de 2023,1.0
Alvorada do Norte,April de 2023,0.0
Alvorada do Norte,May de 2023,0.0
Alvorada do Norte,June de 2023,0.0
Alvorada do Norte,July de 2023,0.0
Alvorada do Norte,August de 2023,0.0
Alvorada do Norte,September de 2023,0.0
Alvorada do Norte,October de 2023,0.0
Alvorada do Norte,November de 2023,0.0
Alvorada do Norte,December de 2023,0.0
Alvorada do Norte,January de 2024,0.0
Alvorada do Norte,February de 2024,0.0
Alvorada do Norte,March de 2024,0.0
Alvorada do Norte,April de 2024,0.0
Alvorada do Norte,May de 2024,0.0
Alvorada do Norte,June de 2024,0.0
Alvorada do Norte,July de 2024,0.0
Alvorada do Norte,August de 2024,0.0
Alvorada do Norte,September de 2024,0.0
Alvorada do Norte,October de 2024,0.0
Amaralina,January de 2021,0.0
Amaralina,February de 2021,0.0
Amaralina,March de 2021,0.0
Amaralina,April de 2021,0.0
Amaralina,May de 2021,0.0
Amaralina,June de 2021,0.0
Amaralina,July de 2021,0.0
Amaralina,August de 2021,0.0
Amaralina,September de 2021,0.0
Amaralina,October de 2021,0.0
